x,y
213,144
211,145
213,146
211,147
211,148
211,149
218,150
203,151
205,152
205,153
203,154
203,155
201,156
202,157
202,158
201,159
201,160
200,161
201,162
200,163
200,164
199,165
201,166
202,167
202,168
202,169
202,170
201,171
200,172
200,173
208,174
200,178
200,179
199,181
198,182
198,183
193,184
193,185
194,186
193,187
192,188
191,189
191,190
191,191
189,192
187,193
180,194
174,195
174,196
174,197
172,198
160,199
157,200
157,201
153,202
152,203
143,205
185,238
186,241
186,242
187,243
187,244
187,245
187,246
184,247
184,248
182,249
182,250
183,251
182,252
182,253
184,254
184,255
183,256
183,257
182,258
181,259
181,260
182,261
186,262
181,263
178,264
180,265
175,266
181,267
180,268
181,269
179,270
180,271
180,272
180,273
181,274
182,275
206,276
206,277
180,278
180,279
179,280
180,281
180,282
180,283
180,284
181,285
181,286
180,287
180,288
180,289
181,290
181,291
181,292
182,293
180,294
179,295
179,296
179,297
181,298
179,299
180,300
180,301
179,302
181,303
204,304
179,305
178,306
178,307
178,308
180,309
178,310
178,311
174,312
179,313
180,314
146,315
146,316
179,320
154,323
143,324
144,325
144,326
177,327
177,328
177,329
177,330
176,331
174,332
177,333
177,334
177,335
178,336
176,337
176,338
177,339
177,340
177,341
178,342
199,343
199,344
176,345
176,346
176,347
176,348
176,349
196,350
177,351
177,352
177,353
177,354
178,355
177,356
179,357
179,358
180,359
180,360
182,361
182,362
183,363
184,364
184,365
188,366
188,367
