x,y
115,4
114,5
114,6
114,7
114,8
115,9
114,10
114,11
114,12
121,17
121,18
121,19
103,157
103,158
103,159
103,160
103,161
102,162
102,163
101,164
101,165
118,166
115,170
115,171
115,172
115,173
98,174
98,175
115,176
98,177
97,178
115,179
115,180
115,181
103,182
95,183
95,184
95,185
95,186
94,187
104,188
101,189
101,190
101,191
101,192
101,193
104,194
114,195
92,196
92,197
91,198
91,199
92,200
91,203
90,204
87,205
88,206
89,207
89,208
90,209
91,210
89,211
86,212
86,213
86,214
87,215
89,216
89,217
86,218
87,219
87,220
71,221
75,222
75,223
79,224
113,225
113,226
113,227
73,228
73,229
73,230
75,231
75,232
75,233
76,234
67,236
67,237
69,238
71,239
72,240
70,241
72,242
71,243
73,244
74,245
75,246
75,247
74,248
76,249
81,250
81,251
81,252
82,253
82,254
82,255
82,256
80,257
80,258
79,259
82,260
81,261
108,262
112,263
82,264
82,265
82,266
82,267
84,268
83,269
83,270
83,271
83,272
82,273
82,274
84,275
83,276
87,277
87,278
109,279
107,280
87,281
87,282
87,283
89,284
107,285
87,286
87,287
87,288
87,289
87,290
85,291
85,292
85,293
87,294
87,295
85,296
86,297
85,298
85,299
88,300
81,301
81,302
81,303
80,304
80,305
81,306
79,307
79,308
79,309
80,310
103,312
101,313
101,314
101,315
110,316
111,317
110,318
110,319
110,320
111,321
107,322
107,323
107,324
106,325
106,326
125,328
123,329
122,330
123,331
74,353
76,354
76,355
