x,y
115,0
115,1
121,4
121,5
120,6
120,7
120,8
116,146
116,147
116,148
110,163
110,164
109,165
108,166
108,167
124,169
124,171
124,172
122,173
105,174
105,175
105,176
105,177
103,178
105,179
104,180
104,181
104,182
104,183
121,184
104,185
103,186
102,187
102,188
102,189
101,190
102,191
102,192
102,193
101,194
102,195
100,196
101,197
101,198
100,199
100,200
100,201
100,202
118,203
117,204
99,205
109,206
98,207
98,208
99,209
98,211
97,212
97,213
96,214
90,215
93,216
93,217
92,218
92,220
77,223
122,224
76,232
77,244
76,245
76,246
78,247
79,248
77,249
81,250
84,251
90,252
90,253
91,254
90,255
88,256
88,257
87,258
115,259
89,260
86,261
89,262
89,263
93,264
89,265
93,266
89,267
91,268
90,269
90,270
88,271
88,272
89,273
89,274
89,275
89,276
88,277
88,278
117,279
117,280
117,281
116,282
88,283
89,284
89,285
89,286
113,287
88,288
86,289
86,290
86,291
88,292
86,293
86,294
87,295
101,296
86,297
101,298
116,299
114,300
87,301
86,302
86,303
86,304
88,305
87,306
100,307
100,308
114,309
114,310
92,311
92,312
92,313
93,314
84,315
85,316
85,317
116,318
95,319
116,320
100,321
100,322
101,323
101,324
101,325
117,326
117,327
109,328
109,329
109,330
107,331
107,332
90,333
90,334
90,335
81,352
83,353
86,354
86,355
86,356
