x,y
519,13
447,14
448,15
448,16
449,17
452,18
453,19
454,20
526,21
462,22
462,23
462,24
459,25
464,26
469,27
533,28
533,29
534,30
534,34
534,35
535,36
260,155
259,156
250,157
259,158
261,163
261,164
255,170
407,243
402,244
405,245
405,246
405,247
404,248
404,249
404,250
403,251
403,252
404,253
403,254
403,255
402,256
402,257
401,258
402,259
401,260
401,261
400,262
400,263
400,264
400,265
400,266
402,267
398,268
398,269
401,270
397,271
421,272
398,273
397,274
396,275
397,276
397,277
396,278
396,279
396,280
396,281
395,282
395,283
395,284
395,285
395,286
395,287
395,288
395,289
393,290
392,291
392,292
393,293
393,294
392,295
391,296
391,297
391,298
391,299
392,300
391,301
391,302
390,303
391,304
391,305
392,306
394,307
394,308
413,309
390,310
392,318
395,321
412,322
413,323
396,324
413,325
397,326
397,327
530,328
402,329
402,330
402,331
399,332
401,333
403,334
406,335
530,336
407,337
409,338
407,339
527,343
526,344
526,345
526,346
524,351
524,352
524,353
523,358
522,359
522,360
522,361
523,362
523,363
