x,y
199,150
199,151
199,152
199,153
200,154
200,155
201,156
183,157
183,158
183,159
183,160
184,161
184,162
184,163
183,164
183,165
182,166
183,167
182,168
201,169
189,170
181,171
182,172
181,173
181,174
186,175
186,176
187,177
202,178
202,179
200,180
198,181
179,182
179,183
179,184
179,185
178,186
177,187
196,188
196,189
182,190
175,191
175,192
175,193
174,194
173,195
173,196
170,197
170,198
150,203
139,204
147,205
141,206
151,207
198,208
129,209
125,210
125,211
124,212
165,240
166,241
168,242
167,243
165,244
166,245
166,246
166,247
166,248
166,249
167,250
166,251
165,252
166,253
158,254
162,255
164,256
163,257
165,258
165,259
166,260
164,261
164,262
164,263
164,264
175,265
164,266
164,267
165,268
166,269
160,270
165,271
164,272
163,273
163,274
164,275
164,276
163,277
163,278
163,279
165,280
164,281
182,282
187,283
186,284
162,285
163,286
163,287
164,288
163,289
160,290
162,291
163,292
163,293
163,294
163,295
161,296
163,297
161,298
160,299
160,300
160,301
160,302
161,303
161,304
159,305
160,306
161,307
159,308
159,309
151,310
151,311
152,312
153,313
153,314
152,315
152,316
152,317
141,318
136,319
136,320
136,321
136,322
137,323
138,324
139,325
140,326
141,327
159,328
183,329
183,330
183,331
158,332
157,333
157,334
157,335
157,336
157,337
158,338
158,339
157,340
157,341
158,342
159,343
159,344
159,345
159,346
159,347
160,348
159,349
178,350
178,351
178,352
180,353
160,354
161,355
162,356
162,357
163,358
164,359
164,360
164,361
165,362
166,363
169,364
