x,y
290,0
290,1
285,2
286,3
293,4
297,5
297,6
297,7
291,8
301,9
301,10
303,11
303,12
302,13
302,14
302,15
302,16
302,17
306,18
306,19
306,20
257,156
258,157
256,158
254,159
246,160
246,161
245,162
245,163
238,164
238,165
236,166
235,167
235,168
231,169
230,170
230,171
225,172
221,173
219,174
219,175
212,176
213,177
213,178
211,179
207,180
205,181
202,182
202,183
198,184
193,185
193,186
189,187
207,188
197,189
197,190
191,192
191,195
184,198
253,244
253,247
253,248
254,249
257,250
254,251
252,252
252,253
252,254
253,255
254,256
248,257
251,258
250,259
251,260
251,261
250,262
250,263
246,264
250,265
250,266
250,267
251,268
251,269
250,270
250,271
251,272
251,273
251,274
247,275
250,276
249,277
248,278
249,279
251,280
247,281
251,282
247,283
248,284
248,285
247,286
247,287
247,288
248,289
248,290
247,291
247,292
248,293
245,294
249,295
248,296
247,297
247,298
245,299
247,300
247,301
248,302
249,303
248,304
247,305
247,306
247,307
247,308
267,309
245,310
246,311
245,312
245,313
245,314
245,315
245,316
244,317
245,318
245,319
245,320
247,321
246,322
245,323
244,324
245,325
245,326
245,327
245,328
245,329
244,330
244,331
245,332
243,333
242,334
242,335
242,336
242,337
242,338
244,339
244,340
244,341
242,342
242,343
243,344
243,345
243,346
242,347
243,348
242,349
242,350
243,351
244,352
245,353
245,354
245,355
244,356
245,357
245,358
246,359
247,360
249,361
250,362
251,363
253,364
252,365
