x,y
393,1
393,2
393,3
393,4
393,5
394,6
395,7
395,8
399,10
399,11
401,12
401,13
402,14
417,18
416,19
412,20
412,21
412,22
412,23
264,156
255,157
253,158
264,159
246,160
240,161
240,162
235,163
233,164
265,165
261,168
260,169
256,170
256,171
255,172
230,182
230,183
357,246
358,247
357,248
356,249
357,250
356,251
356,252
356,253
357,254
352,255
354,256
354,257
354,258
356,259
356,260
356,261
353,262
353,263
353,264
353,265
355,266
356,267
351,268
352,269
354,270
353,271
352,272
352,273
353,274
352,275
356,276
353,277
351,278
351,279
354,280
351,281
351,282
351,283
352,284
350,285
352,286
353,287
350,288
373,289
350,290
350,291
350,292
350,293
350,294
349,295
349,296
351,297
350,298
349,299
350,300
350,301
349,302
350,303
350,304
350,305
351,306
349,307
350,308
350,309
350,310
350,311
351,312
352,316
352,317
355,320
355,321
358,322
359,323
361,324
365,325
366,326
367,327
379,328
378,329
379,330
375,331
375,332
483,334
483,335
482,336
481,337
482,338
482,339
481,340
481,341
481,342
483,343
482,345
482,346
482,347
482,349
481,350
480,351
480,352
480,353
480,354
478,360
482,361
478,362
478,363
478,364
