x,y
264,2
264,3
264,4
248,153
258,154
248,155
247,156
257,157
261,158
263,159
263,160
241,161
241,162
241,163
239,164
236,165
234,166
236,167
233,168
231,169
226,170
224,171
224,172
220,173
220,174
220,175
216,176
209,177
213,178
212,179
211,180
208,181
207,182
206,183
204,184
205,185
199,186
194,187
212,188
190,189
187,190
186,191
183,192
183,193
206,194
173,195
171,196
207,197
176,201
166,203
166,205
166,206
225,243
224,244
224,245
225,246
224,247
223,248
223,249
216,250
223,251
223,252
223,253
223,254
249,255
249,256
225,257
222,258
224,259
223,260
222,261
223,262
223,263
219,264
223,265
223,266
223,267
223,268
221,269
222,270
222,271
221,272
220,273
222,274
224,275
220,276
222,277
222,278
222,279
220,280
221,281
221,282
220,283
219,284
219,285
220,286
220,287
246,288
220,289
219,290
218,291
218,292
216,293
217,294
217,295
217,296
216,297
216,298
218,299
216,300
215,301
216,302
216,303
216,304
218,305
217,306
218,307
216,308
217,309
216,310
216,311
217,312
235,313
217,314
217,315
216,316
215,317
215,318
215,319
217,320
216,321
216,322
216,323
216,324
217,325
215,326
215,327
213,328
214,329
214,330
215,331
214,332
215,333
217,334
215,335
215,336
215,337
214,338
216,339
215,340
213,341
213,342
213,343
214,344
214,345
214,346
215,347
213,348
215,349
215,350
234,351
213,352
216,353
216,354
216,355
217,356
217,357
217,358
217,359
218,360
218,361
219,362
231,364
227,365
224,366
227,367
226,368
