x,y
303,0
303,1
303,2
313,3
312,4
312,5
312,6
314,7
314,8
314,9
318,10
318,11
318,12
325,14
328,15
325,16
326,17
324,18
328,19
324,20
329,21
331,22
331,23
257,157
267,158
258,159
250,160
248,161
241,162
241,163
242,164
242,165
236,166
233,167
232,168
252,169
229,170
226,171
226,172
224,173
220,174
218,175
218,176
211,177
210,178
208,179
208,180
206,181
203,182
199,183
195,184
194,185
191,186
230,187
208,188
187,189
175,190
175,191
173,192
190,193
188,194
175,195
269,246
269,247
270,248
269,249
269,250
270,251
269,252
267,253
266,254
268,255
269,256
268,257
268,258
268,259
267,260
267,261
267,262
266,263
268,264
268,265
265,266
267,267
268,268
267,269
267,270
267,271
267,272
265,273
267,274
261,275
264,276
264,277
263,278
267,279
265,280
265,281
266,282
266,283
266,284
266,285
265,286
265,287
265,288
291,289
291,290
265,291
263,292
263,293
262,294
261,295
262,296
262,297
260,298
260,299
260,300
260,301
260,302
260,303
261,304
260,305
259,306
259,307
259,308
260,309
259,310
259,311
256,312
256,313
258,314
258,315
169,316
169,317
169,318
168,319
167,320
258,324
258,325
258,326
258,327
258,328
258,329
257,330
257,331
259,332
259,333
259,334
258,335
259,336
257,337
258,338
259,339
259,340
259,341
259,342
259,343
259,344
259,345
257,346
260,347
259,348
259,349
259,350
259,351
260,352
261,353
261,354
262,355
263,356
264,357
267,358
269,359
270,360
270,361
