x,y
177,1
177,2
180,144
179,145
179,146
179,147
171,151
171,152
171,153
170,154
170,155
169,156
170,157
170,158
170,159
169,160
169,161
187,162
187,163
176,164
168,165
167,166
168,167
166,168
166,169
166,170
165,171
164,172
166,173
165,174
166,175
166,176
174,177
166,178
166,179
166,180
164,181
166,182
166,183
173,184
165,185
165,186
165,187
165,188
185,189
163,190
162,191
163,192
164,193
163,194
162,195
162,196
161,197
155,198
186,199
157,200
156,201
153,202
112,214
189,220
115,221
146,239
144,240
147,241
147,242
149,243
150,244
152,245
151,246
149,247
151,248
150,249
148,250
150,251
150,252
151,253
150,254
150,255
150,256
150,257
150,258
150,259
153,260
153,261
152,262
152,263
151,264
150,265
150,266
149,267
149,268
150,269
151,270
149,271
150,272
151,273
151,274
152,275
177,276
149,277
150,278
152,279
150,280
177,281
149,282
151,283
151,284
150,285
149,286
149,287
149,288
149,289
149,290
150,291
149,292
173,293
146,294
150,295
149,296
148,297
148,298
149,299
150,300
147,301
147,302
148,303
147,304
170,305
170,306
145,307
145,308
145,309
169,310
169,311
169,312
135,313
135,314
135,315
134,316
166,317
133,318
133,319
133,320
133,321
134,322
134,323
134,324
136,325
135,326
137,327
138,328
140,329
142,330
143,331
144,332
139,333
139,334
170,335
145,336
144,337
171,338
171,339
170,340
170,341
145,342
173,343
173,344
170,345
148,346
148,347
147,348
148,349
148,350
149,351
170,352
170,353
170,354
147,357
150,358
150,359
150,360
149,361
154,363
148,364
149,365
150,366
151,367
151,368
151,369
154,370
