x,y
118,4
118,5
118,6
119,7
121,155
121,156
121,157
121,160
121,161
121,162
105,163
105,164
105,165
121,166
103,167
103,168
120,169
103,170
103,171
102,172
102,173
100,175
101,176
101,177
117,178
117,179
100,180
100,181
100,182
101,183
100,184
116,185
98,186
98,187
116,188
116,189
97,190
116,191
97,192
97,193
97,194
99,195
97,196
95,197
95,198
95,199
93,200
116,201
106,202
106,203
96,204
96,205
95,206
96,207
95,208
117,209
94,210
94,211
117,212
117,213
119,215
90,217
89,218
87,219
89,220
89,221
74,222
80,223
84,224
117,225
70,238
70,239
72,240
72,241
73,242
74,243
74,244
76,245
77,246
77,247
78,248
79,249
80,250
81,251
82,252
83,253
83,254
87,255
86,256
85,257
84,258
84,259
85,260
110,261
86,262
109,263
83,264
82,265
83,266
84,267
84,268
86,269
86,270
85,271
85,272
85,273
87,274
87,275
86,276
85,277
113,278
86,279
86,280
86,281
84,282
84,283
85,284
87,285
84,286
108,287
108,288
112,289
84,291
85,292
84,293
110,294
110,295
111,296
111,297
111,298
83,299
83,300
91,301
91,302
91,303
91,304
84,305
84,306
84,307
89,308
89,309
112,310
89,311
89,312
83,313
83,314
83,315
100,316
89,317
81,318
81,319
79,320
97,321
85,322
81,323
83,324
81,325
119,326
110,327
79,328
79,329
79,330
107,331
80,332
83,333
80,334
80,335
