x,y
163,3
163,4
163,5
163,6
156,143
156,144
159,145
159,146
159,147
159,148
165,150
165,151
165,152
165,153
158,154
158,155
149,156
149,157
150,158
150,159
150,160
149,161
149,162
148,163
148,164
148,165
149,166
149,167
147,168
155,169
147,170
147,171
147,172
147,173
147,174
145,175
145,176
147,177
144,178
144,179
144,180
154,181
145,182
145,183
144,184
145,185
144,186
144,187
144,188
144,190
142,191
143,192
142,193
143,194
146,195
140,196
139,197
139,198
138,199
136,200
138,201
138,203
137,204
137,205
126,206
129,207
131,209
104,223
104,224
104,225
100,242
104,243
104,244
124,245
106,246
128,247
127,248
123,249
127,250
128,251
124,252
160,253
154,254
130,255
131,256
131,257
131,258
125,259
129,260
132,261
129,262
128,263
129,264
128,265
129,266
132,267
129,268
128,269
128,270
128,271
129,272
128,273
128,274
126,275
124,276
127,277
128,278
129,279
127,280
127,281
128,282
129,283
121,284
127,285
127,286
127,287
127,288
128,289
129,290
129,291
127,292
127,293
126,294
128,295
127,296
127,297
128,298
125,299
125,300
123,301
125,302
127,303
126,304
127,305
124,306
125,307
123,308
150,309
122,310
151,311
122,312
122,313
124,314
121,315
118,316
120,317
120,318
121,319
122,320
122,321
122,322
123,323
119,324
123,325
123,326
123,327
120,328
122,329
122,330
124,331
128,332
128,333
123,334
124,335
124,336
124,337
124,338
125,339
125,340
137,341
137,342
138,343
138,344
138,345
138,346
139,347
139,348
148,349
128,350
129,351
129,352
131,353
131,354
139,355
137,356
130,357
130,358
129,359
129,361
130,377
130,378
128,379
