x,y
141,1
143,2
159,3
159,4
159,5
159,6
149,145
149,146
149,147
141,151
140,152
140,153
155,154
140,155
139,156
140,157
140,158
156,159
157,160
157,161
157,162
137,163
145,164
145,165
145,166
137,167
136,168
136,169
136,170
152,171
136,172
135,173
135,174
135,175
142,176
142,177
133,178
133,179
133,180
133,181
130,182
133,183
133,184
132,185
129,186
132,187
139,188
129,189
130,190
128,191
128,192
129,193
129,194
130,195
130,196
143,197
143,198
143,199
130,200
130,201
128,202
152,203
151,204
128,205
125,206
126,207
125,208
81,220
98,221
79,239
85,240
85,241
88,242
104,243
104,244
111,245
113,246
111,247
109,248
108,249
107,250
118,251
121,252
118,253
118,254
116,255
118,256
118,257
121,258
120,259
118,260
119,261
119,262
119,263
118,264
118,265
117,266
117,267
118,268
118,269
118,270
118,271
117,272
117,273
117,274
116,275
117,276
141,277
117,278
118,279
117,280
116,281
117,282
117,283
117,284
115,285
117,286
117,287
117,288
139,289
140,290
140,291
140,292
142,293
141,294
142,295
116,296
116,297
116,298
116,299
114,300
115,301
116,302
116,303
116,304
115,305
115,306
142,307
113,308
115,309
115,310
114,311
113,312
113,313
113,314
113,315
114,316
114,317
112,318
113,319
111,320
111,321
113,322
144,323
113,324
114,325
114,326
114,327
119,328
119,329
119,330
143,331
142,332
142,333
142,334
144,335
142,336
142,337
142,338
130,339
129,340
129,341
129,342
117,344
118,345
119,346
118,347
124,348
130,349
116,350
118,351
120,352
119,353
119,354
119,356
118,357
118,358
120,359
118,366
118,367
118,368
118,369
119,370
117,388
118,389
118,390
