x,y
163,145
161,146
163,147
161,148
161,149
161,150
175,151
175,152
175,153
159,154
159,155
159,156
158,157
159,158
157,159
157,160
159,161
158,162
174,163
174,164
174,165
174,166
155,167
155,168
155,169
155,170
155,171
155,172
155,173
154,174
154,175
154,176
160,177
153,178
153,179
153,180
162,181
153,182
153,183
151,184
150,185
150,186
150,187
149,188
149,189
149,190
148,191
149,192
157,193
147,194
147,195
145,196
145,197
147,198
145,199
144,200
141,203
110,216
177,230
129,231
124,240
118,242
129,243
127,244
134,245
135,246
134,247
134,248
133,249
134,250
137,251
130,252
171,253
137,254
130,255
138,256
137,257
135,258
138,259
138,260
134,261
133,262
137,263
137,264
137,265
139,266
138,267
137,268
137,269
137,270
136,271
131,272
136,273
137,274
136,275
136,276
135,277
133,278
135,279
135,280
135,281
131,282
135,283
135,284
135,285
135,286
135,287
133,288
134,289
136,290
135,291
137,292
136,293
156,294
127,295
134,296
133,297
134,298
130,299
133,300
133,301
132,302
131,303
129,304
132,305
129,306
125,307
124,308
124,309
125,310
125,311
126,312
126,313
128,314
125,315
125,316
121,317
124,318
123,319
123,320
127,321
125,322
158,323
125,324
125,325
125,326
124,327
124,328
123,329
124,330
125,331
125,332
124,333
125,334
125,335
126,336
129,337
128,338
132,339
132,340
134,341
134,342
135,343
137,344
157,345
157,346
157,347
135,348
135,349
135,350
135,354
136,355
135,356
136,357
138,358
138,359
140,360
138,361
140,362
137,370
138,371
139,372
138,373
139,374
137,375
140,376
138,377
137,378
