x,y,dy,groove
192,0,0,0
192,1,1,0
191,2,1,0
308,184,182,1
308,185,1,0
308,186,1,0
308,187,1,0
308,188,1,0
307,189,1,0
306,190,1,0
307,191,1,0
307,192,1,0
307,193,1,0
307,194,1,0
307,195,1,0
307,196,1,0
307,197,1,0
307,198,1,0
307,199,1,0
307,200,1,0
307,201,1,0
307,202,1,0
307,203,1,0
307,204,1,0
307,205,1,0
307,206,1,0
307,207,1,0
307,208,1,0
307,209,1,0
307,210,1,0
307,211,1,0
307,212,1,0
308,213,1,0
308,214,1,0
308,215,1,0
307,216,1,0
307,217,1,0
307,218,1,0
307,219,1,0
307,220,1,0
307,221,1,0
308,222,1,0
308,223,1,0
308,224,1,0
309,225,1,0
309,226,1,0
310,227,1,0
311,228,1,0
311,229,1,0
312,230,1,0
312,231,1,0
312,232,1,0
311,233,1,0
310,234,1,0
309,235,1,0
308,236,1,0
308,237,1,0
307,238,1,0
307,239,1,0
307,240,1,0
306,241,1,0
306,242,1,0
306,243,1,0
306,244,1,0
306,245,1,0
306,246,1,0
306,247,1,0
306,248,1,0
306,249,1,0
306,250,1,0
305,251,1,0
305,252,1,0
305,253,1,0
305,254,1,0
305,255,1,0
305,256,1,0
305,257,1,0
305,258,1,0
304,259,1,0
304,260,1,0
304,261,1,0
304,262,1,0
304,263,1,0
304,264,1,0
304,265,1,0
304,266,1,0
305,267,1,0
305,268,1,0
305,269,1,0
305,270,1,0
306,271,1,0
307,272,1,0
308,273,1,0
309,274,1,0
309,275,1,0
308,276,1,0
307,277,1,0
305,278,1,0
304,279,1,0
303,280,1,0
302,281,1,0
302,282,1,0
301,283,1,0
301,284,1,0
301,285,1,0
300,286,1,0
300,287,1,0
300,288,1,0
300,289,1,0
300,290,1,0
300,291,1,0
298,292,1,0
