x,y
111,333
112,334
113,333
114,333
115,296
116,313
117,295
118,295
119,324
120,312
121,331
122,319
123,314
124,312
125,297
126,297
127,293
128,296
129,296
130,292
131,291
132,291
133,292
134,291
135,291
136,291
137,291
138,291
139,295
140,354
141,314
142,301
143,291
144,290
145,295
146,295
147,295
148,295
149,296
150,296
151,293
152,293
153,289
154,280
155,274
156,260
157,259
158,298
159,304
160,304
161,304
162,304
163,304
164,304
165,304
166,304
167,305
168,305
169,305
170,305
171,305
172,305
173,305
174,306
175,306
176,306
177,306
178,308
179,305
180,305
181,305
182,305
183,306
184,305
185,305
186,305
