x,y,dy,groove
209,212,0,0
210,212,0,0
211,212,0,0
212,211,1,0
213,211,0,0
214,211,0,0
215,211,0,0
216,210,1,0
217,210,0,0
218,209,1,0
219,209,0,0
220,209,0,0
221,208,1,0
222,208,0,0
223,208,0,0
224,208,0,0
226,207,1,0
227,207,0,0
230,206,1,0
231,205,1,0
232,205,0,0
233,204,1,0
234,204,0,0
235,204,0,0
236,203,1,0
237,203,0,0
238,202,1,0
239,202,0,0
240,201,1,0
246,198,3,0
247,198,0,0
248,198,0,0
249,198,0,0
250,198,0,0
251,198,0,0
252,197,1,0
253,197,0,0
254,197,0,0
255,196,1,0
256,196,0,0
257,196,0,0
259,195,1,0
261,194,1,0
262,194,0,0
263,193,1,0
264,193,0,0
265,193,0,0
266,193,0,0
267,192,1,0
277,188,4,0
278,188,0,0
279,187,1,0
280,187,0,0
281,187,0,0
282,186,1,0
283,186,0,0
284,185,1,0
285,185,0,0
287,184,1,0
288,184,0,0
290,183,1,0
292,182,1,0
293,182,0,0
294,182,0,0
302,178,4,0
303,178,0,0
314,171,7,1
315,171,0,0
316,171,0,0
317,171,0,0
319,170,1,0
320,170,0,0
321,170,0,0
322,169,1,0
323,169,0,0
334,163,6,1
335,163,0,0
336,163,0,0
337,163,0,0
338,163,0,0
339,162,1,0
340,162,0,0
341,162,0,0
342,162,0,0
344,161,1,0
345,161,0,0
346,160,1,0
347,160,0,0
349,159,1,0
351,158,1,0
352,158,0,0
353,157,1,0
354,157,0,0
355,157,0,0
356,156,1,0
357,156,0,0
358,156,0,0
359,155,1,0
360,155,0,0
361,154,1,0
362,154,0,0
363,154,0,0
364,153,1,0
365,153,0,0
367,152,1,0
368,152,0,0
374,149,3,0
375,149,0,0
376,149,0,0
377,148,1,0
378,148,0,0
414,261,113,1
415,260,1,0
416,258,2,0
422,220,38,1
423,220,0,0
424,215,5,0
425,214,1,0
426,211,3,0
427,210,1,0
428,208,2,0
429,201,7,1
430,188,13,1
431,187,1,0
