x,y,dy,groove
175,342,0,0
176,341,1,0
177,341,0,0
178,341,0,0
179,340,1,0
259,373,33,1
260,373,0,0
261,373,0,0
262,373,0,0
263,373,0,0
264,373,0,0
265,373,0,0
266,373,0,0
268,374,1,0
269,374,0,0
270,374,0,0
271,374,0,0
272,374,0,0
273,374,0,0
274,374,0,0
277,375,1,0
278,375,0,0
279,375,0,0
280,375,0,0
281,375,0,0
283,376,1,0
284,377,1,0
285,377,0,0
286,377,0,0
287,377,0,0
288,377,0,0
289,377,0,0
290,377,0,0
420,347,30,1
421,291,56,1
422,276,15,1
423,265,11,1
424,263,2,0
425,260,3,0
426,268,8,1
427,270,2,0
428,275,5,0
429,268,7,1
430,265,3,0
431,276,11,1
432,274,2,0
433,274,0,0
434,270,4,0
435,256,14,1
