x,y,dy,groove
495,0,0,0
495,1,1,0
493,2,1,0
495,3,1,0
492,4,1,0
495,5,1,0
489,6,1,0
468,7,1,0
482,8,1,0
484,9,1,0
488,10,1,0
487,11,1,0
484,12,1,0
484,13,1,0
479,14,1,0
489,15,1,0
503,16,1,0
533,17,1,0
534,18,1,0
534,19,1,0
535,20,1,0
538,21,1,0
538,22,1,0
240,164,142,1
240,165,1,0
239,166,1,0
237,167,1,0
236,168,1,0
235,169,1,0
234,170,1,0
232,171,1,0
231,172,1,0
229,173,1,0
228,174,1,0
227,175,1,0
225,176,1,0
223,177,1,0
221,178,1,0
220,179,1,0
219,180,1,0
218,181,1,0
217,182,1,0
215,183,1,0
214,184,1,0
212,185,1,0
211,186,1,0
209,187,1,0
208,188,1,0
206,189,1,0
205,190,1,0
204,191,1,0
202,192,1,0
200,193,1,0
199,194,1,0
197,195,1,0
196,196,1,0
194,197,1,0
193,198,1,0
192,199,1,0
191,200,1,0
190,201,1,0
189,202,1,0
188,203,1,0
185,204,1,0
182,205,1,0
181,206,1,0
180,207,1,0
179,208,1,0
178,209,1,0
176,210,1,0
175,211,1,0
174,212,1,0
172,213,1,0
171,214,1,0
169,215,1,0
168,216,1,0
166,217,1,0
165,218,1,0
164,219,1,0
162,220,1,0
160,221,1,0
159,222,1,0
158,223,1,0
156,224,1,0
155,225,1,0
154,226,1,0
152,227,1,0
150,228,1,0
149,229,1,0
148,230,1,0
146,231,1,0
145,232,1,0
143,233,1,0
142,234,1,0
141,235,1,0
140,236,1,0
138,237,1,0
137,238,1,0
136,239,1,0
136,240,1,0
179,318,78,1
178,319,1,0
178,320,1,0
177,321,1,0
602,353,32,1
602,354,1,0
602,355,1,0
602,356,1,0
602,357,1,0
602,359,2,0
602,360,1,0
601,362,2,0
601,363,1,0
601,364,1,0
601,365,1,0
601,366,1,0
601,367,1,0
601,368,1,0
601,369,1,0
601,370,1,0
601,371,1,0
