x,y,dy,groove
88,258,0,0
89,263,5,0
90,266,3,0
91,244,22,1
92,231,13,1
93,219,12,1
94,214,5,0
119,323,109,1
120,322,1,0
121,322,0,0
122,322,0,0
123,322,0,0
124,322,0,0
125,177,145,1
126,178,1,0
127,178,0,0
128,179,1,0
129,179,0,0
130,179,0,0
131,179,0,0
132,179,0,0
133,179,0,0
134,179,0,0
135,178,1,0
136,178,0,0
137,178,0,0
138,178,0,0
139,178,0,0
140,178,0,0
141,178,0,0
142,178,0,0
143,178,0,0
144,178,0,0
145,178,0,0
146,178,0,0
147,178,0,0
148,177,1,0
149,177,0,0
150,177,0,0
151,177,0,0
152,177,0,0
153,177,0,0
154,177,0,0
155,176,1,0
156,176,0,0
157,176,0,0
158,176,0,0
159,176,0,0
160,176,0,0
161,176,0,0
162,175,1,0
163,175,0,0
164,175,0,0
165,175,0,0
166,175,0,0
167,175,0,0
168,175,0,0
169,174,1,0
170,174,0,0
171,174,0,0
172,174,0,0
173,174,0,0
174,173,1,0
175,173,0,0
176,173,0,0
177,173,0,0
178,172,1,0
183,169,3,0
184,170,1,0
185,170,0,0
186,171,1,0
187,171,0,0
188,171,0,0
189,171,0,0
190,171,0,0
191,171,0,0
192,171,0,0
193,171,0,0
194,171,0,0
195,170,1,0
196,170,0,0
197,170,0,0
198,170,0,0
199,170,0,0
200,170,0,0
201,170,0,0
202,169,1,0
203,169,0,0
204,169,0,0
205,169,0,0
206,169,0,0
207,169,0,0
208,169,0,0
209,169,0,0
210,169,0,0
211,168,1,0
212,167,1,0
213,167,0,0
214,167,0,0
215,167,0,0
216,167,0,0
217,167,0,0
218,167,0,0
219,166,1,0
220,166,0,0
221,166,0,0
222,166,0,0
223,166,0,0
224,165,1,0
225,165,0,0
226,165,0,0
227,165,0,0
228,165,0,0
229,165,0,0
230,165,0,0
231,165,0,0
232,164,1,0
233,164,0,0
234,163,1,0
235,163,0,0
236,163,0,0
237,163,0,0
238,162,1,0
239,162,0,0
240,161,1,0
241,161,0,0
242,161,0,0
243,161,0,0
244,160,1,0
245,160,0,0
246,160,0,0
247,160,0,0
258,157,3,0
259,157,0,0
260,157,0,0
261,157,0,0
262,157,0,0
263,156,1,0
599,41,115,1
600,41,0,0
601,41,0,0
602,41,0,0
