x,y,dy,groove
72,0,0,0
73,0,0,0
74,2,2,0
75,2,0,0
78,5,3,0
79,5,0,0
80,6,1,0
81,6,0,0
94,236,230,1
95,234,2,0
96,240,6,1
97,241,1,0
98,255,14,1
99,280,25,1
100,296,16,1
101,300,4,0
102,304,4,0
120,323,19,1
121,323,0,0
122,322,1,0
123,322,0,0
124,322,0,0
125,274,48,1
126,235,39,1
127,178,57,1
128,178,0,0
129,178,0,0
130,178,0,0
131,178,0,0
132,178,0,0
133,178,0,0
134,178,0,0
135,178,0,0
136,178,0,0
137,177,1,0
138,177,0,0
139,177,0,0
140,177,0,0
141,177,0,0
142,177,0,0
143,177,0,0
144,177,0,0
145,177,0,0
146,177,0,0
147,176,1,0
148,176,0,0
149,176,0,0
150,176,0,0
151,176,0,0
152,176,0,0
153,175,1,0
154,175,0,0
155,175,0,0
156,175,0,0
157,175,0,0
158,175,0,0
159,175,0,0
160,174,1,0
161,174,0,0
162,174,0,0
163,174,0,0
164,174,0,0
165,174,0,0
166,174,0,0
167,174,0,0
168,174,0,0
169,173,1,0
170,173,0,0
171,173,0,0
172,173,0,0
173,172,1,0
174,172,0,0
175,172,0,0
176,171,1,0
177,171,0,0
178,170,1,0
183,168,2,0
184,168,0,0
185,168,0,0
186,168,0,0
187,169,1,0
188,169,0,0
189,169,0,0
190,169,0,0
191,169,0,0
192,169,0,0
193,169,0,0
194,169,0,0
195,169,0,0
196,169,0,0
197,169,0,0
198,168,1,0
199,168,0,0
200,168,0,0
201,168,0,0
202,168,0,0
203,167,1,0
204,167,0,0
205,167,0,0
206,167,0,0
207,167,0,0
208,166,1,0
209,166,0,0
210,165,1,0
211,165,0,0
212,165,0,0
213,165,0,0
214,165,0,0
215,165,0,0
216,165,0,0
217,165,0,0
218,164,1,0
219,164,0,0
220,163,1,0
221,163,0,0
222,163,0,0
223,163,0,0
224,162,1,0
225,162,0,0
226,162,0,0
227,162,0,0
228,162,0,0
229,162,0,0
230,161,1,0
231,161,0,0
232,160,1,0
233,160,0,0
234,160,0,0
235,160,0,0
236,160,0,0
237,160,0,0
238,159,1,0
239,159,0,0
240,159,0,0
242,158,1,0
246,156,2,0
247,156,0,0
248,156,0,0
249,155,1,0
