x,y,dy,groove
85,235,0,0
86,235,0,0
87,235,0,0
88,234,1,0
89,234,0,0
90,233,1,0
91,232,1,0
92,232,0,0
93,231,1,0
94,231,0,0
95,230,1,0
96,229,1,0
97,229,0,0
98,228,1,0
99,228,0,0
100,227,1,0
101,227,0,0
102,226,1,0
103,226,0,0
104,225,1,0
105,224,1,0
106,224,0,0
107,223,1,0
108,222,1,0
109,222,0,0
110,221,1,0
111,221,0,0
112,220,1,0
113,219,1,0
114,218,1,0
115,218,0,0
116,217,1,0
117,217,0,0
118,217,0,0
119,216,1,0
120,216,0,0
121,215,1,0
122,215,0,0
123,214,1,0
124,213,1,0
125,212,1,0
126,212,0,0
127,211,1,0
128,211,0,0
129,210,1,0
130,210,0,0
131,209,1,0
132,209,0,0
133,208,1,0
134,208,0,0
135,207,1,0
136,207,0,0
137,206,1,0
138,206,0,0
139,205,1,0
140,204,1,0
141,204,0,0
142,203,1,0
143,203,0,0
144,202,1,0
145,202,0,0
146,201,1,0
147,200,1,0
148,199,1,0
149,199,0,0
150,198,1,0
151,198,0,0
152,197,1,0
153,197,0,0
154,196,1,0
155,195,1,0
156,195,0,0
157,194,1,0
158,193,1,0
159,192,1,0
160,192,0,0
161,192,0,0
162,191,1,0
163,227,36,1
164,238,11,1
165,238,0,0
166,237,1,0
167,244,7,1
168,187,57,1
169,186,1,0
170,186,0,0
171,185,1,0
172,185,0,0
173,184,1,0
174,184,0,0
175,183,1,0
176,183,0,0
177,182,1,0
178,181,1,0
179,180,1,0
180,179,1,0
181,178,1,0
182,178,0,0
183,177,1,0
184,177,0,0
185,177,0,0
186,176,1,0
187,176,0,0
188,175,1,0
189,175,0,0
190,174,1,0
191,174,0,0
192,173,1,0
193,173,0,0
194,172,1,0
195,171,1,0
196,171,0,0
197,170,1,0
198,169,1,0
199,169,0,0
200,169,0,0
201,168,1,0
202,167,1,0
203,166,1,0
204,166,0,0
205,165,1,0
206,165,0,0
207,164,1,0
208,163,1,0
209,163,0,0
210,162,1,0
211,162,0,0
212,161,1,0
213,160,1,0
214,160,0,0
215,159,1,0
216,158,1,0
217,157,1,0
218,157,0,0
219,157,0,0
220,156,1,0
221,156,0,0
222,155,1,0
223,154,1,0
224,154,0,0
225,153,1,0
226,152,1,0
227,151,1,0
228,151,0,0
229,151,0,0
230,150,1,0
310,199,49,1
311,280,81,1
312,284,4,0
313,277,7,1
314,276,1,0
315,278,2,0
316,285,7,1
317,281,4,0
318,276,5,0
319,267,9,1
320,242,25,1
321,233,9,1
322,233,0,0
323,223,10,1
324,218,5,0
325,198,20,1
326,204,6,1
327,209,5,0
328,259,50,1
329,260,1,0
330,233,27,1
450,16,217,1
451,16,0,0
452,15,1,0
453,15,0,0
454,14,1,0
455,14,0,0
456,14,0,0
457,13,1,0
458,13,0,0
459,12,1,0
460,12,0,0
461,11,1,0
462,10,1,0
463,10,0,0
464,10,0,0
465,9,1,0
468,7,2,0
469,7,0,0
470,7,0,0
471,6,1,0
472,6,0,0
473,5,1,0
474,5,0,0
475,4,1,0
476,4,0,0
477,3,1,0
478,3,0,0
481,1,2,0
482,1,0,0
483,0,1,0
