x,y,dy,groove
522,0,0,0
522,1,1,0
523,2,1,0
525,3,1,0
526,4,1,0
547,5,1,0
554,6,1,0
557,7,1,0
559,8,1,0
560,9,1,0
561,10,1,0
558,11,1,0
554,12,1,0
555,13,1,0
555,14,1,0
553,15,1,0
552,16,1,0
546,17,1,0
543,18,1,0
545,19,1,0
546,20,1,0
549,21,1,0
549,22,1,0
549,23,1,0
549,24,1,0
279,178,154,1
278,179,1,0
278,180,1,0
276,181,1,0
274,182,1,0
273,183,1,0
271,184,1,0
270,185,1,0
268,186,1,0
267,187,1,0
265,188,1,0
263,189,1,0
262,190,1,0
258,191,1,0
256,192,1,0
255,193,1,0
253,194,1,0
252,195,1,0
251,196,1,0
249,197,1,0
247,198,1,0
244,199,1,0
242,200,1,0
241,201,1,0
240,202,1,0
239,203,1,0
237,204,1,0
235,205,1,0
234,206,1,0
232,207,1,0
229,208,1,0
228,209,1,0
227,210,1,0
227,211,1,0
226,212,1,0
223,213,1,0
219,214,1,0
219,215,1,0
217,216,1,0
215,217,1,0
214,218,1,0
212,219,1,0
210,220,1,0
208,221,1,0
207,222,1,0
205,223,1,0
204,224,1,0
203,225,1,0
201,226,1,0
199,227,1,0
197,228,1,0
195,229,1,0
193,230,1,0
192,231,1,0
190,232,1,0
188,233,1,0
187,234,1,0
185,235,1,0
183,236,1,0
181,237,1,0
177,238,1,0
176,239,1,0
175,240,1,0
174,241,1,0
173,242,1,0
171,243,1,0
170,244,1,0
168,245,1,0
167,246,1,0
165,247,1,0
163,248,1,0
161,249,1,0
160,250,1,0
158,251,1,0
156,252,1,0
154,253,1,0
153,254,1,0
151,255,1,0
150,256,1,0
149,257,1,0
148,258,1,0
147,259,1,0
147,260,1,0
179,319,59,1
179,320,1,0
179,321,1,0
179,322,1,0
179,323,1,0
600,407,84,1
600,408,1,0
600,409,1,0
599,410,1,0
599,411,1,0
599,412,1,0
599,413,1,0
599,414,1,0
