x,y,dy,groove
103,193,0,0
104,193,0,0
105,192,1,0
106,192,0,0
107,192,0,0
108,192,0,0
109,192,0,0
110,192,0,0
111,191,1,0
112,191,0,0
113,190,1,0
114,189,1,0
115,188,1,0
116,188,0,0
117,188,0,0
118,187,1,0
119,187,0,0
120,186,1,0
121,185,1,0
122,185,0,0
123,185,0,0
124,185,0,0
125,185,0,0
126,184,1,0
127,184,0,0
128,184,0,0
129,184,0,0
130,184,0,0
131,184,0,0
132,184,0,0
133,184,0,0
134,183,1,0
135,183,0,0
136,182,1,0
137,181,1,0
138,181,0,0
139,181,0,0
140,180,1,0
141,180,0,0
142,236,56,1
143,244,8,1
144,250,6,1
145,242,8,1
146,235,7,1
147,219,16,1
148,177,42,1
149,177,0,0
150,177,0,0
151,177,0,0
152,176,1,0
153,176,0,0
154,175,1,0
155,174,1,0
156,174,0,0
157,174,0,0
158,174,0,0
159,173,1,0
160,173,0,0
161,172,1,0
162,172,0,0
163,172,0,0
164,238,66,1
165,290,52,1
166,301,11,1
167,304,3,0
168,298,6,1
169,296,2,0
170,284,12,1
171,275,9,1
172,276,1,0
173,277,1,0
174,273,4,0
175,273,0,0
176,270,3,0
177,272,2,0
178,279,7,1
179,279,0,0
180,267,12,1
181,232,35,1
182,210,22,1
183,192,18,1
184,188,4,0
185,186,2,0
186,178,8,1
187,166,12,1
188,159,7,1
189,160,1,0
190,161,1,0
191,160,1,0
192,160,0,0
193,159,1,0
194,159,0,0
195,158,1,0
196,158,0,0
197,158,0,0
198,158,0,0
199,157,1,0
200,157,0,0
201,155,2,0
202,155,0,0
203,155,0,0
204,155,0,0
205,154,1,0
206,153,1,0
207,153,0,0
208,153,0,0
209,153,0,0
210,152,1,0
211,151,1,0
212,150,1,0
213,150,0,0
214,150,0,0
215,149,1,0
