x,y,dy,groove
225,220,0,0
227,219,1,0
228,219,0,0
229,219,0,0
231,217,2,0
232,217,0,0
233,217,0,0
234,216,1,0
235,216,0,0
236,215,1,0
237,215,0,0
238,214,1,0
239,214,0,0
240,214,0,0
241,213,1,0
242,213,0,0
243,213,0,0
244,212,1,0
246,210,2,0
247,210,0,0
248,210,0,0
249,209,1,0
250,209,0,0
251,209,0,0
252,209,0,0
253,208,1,0
255,206,2,0
256,206,0,0
257,206,0,0
258,205,1,0
261,203,2,0
262,203,0,0
263,203,0,0
264,202,1,0
265,201,1,0
268,198,3,0
269,198,0,0
270,198,0,0
271,197,1,0
272,197,0,0
273,197,0,0
274,197,0,0
275,198,1,0
276,197,1,0
280,193,4,0
281,193,0,0
282,193,0,0
283,193,0,0
284,192,1,0
285,192,0,0
286,192,0,0
287,191,1,0
288,191,0,0
289,190,1,0
290,190,0,0
291,190,0,0
292,189,1,0
293,189,0,0
294,188,1,0
295,188,0,0
296,187,1,0
297,187,0,0
298,187,0,0
299,187,0,0
300,186,1,0
301,186,0,0
302,185,1,0
303,184,1,0
304,184,0,0
305,184,0,0
306,183,1,0
307,183,0,0
308,182,1,0
309,182,0,0
310,181,1,0
311,181,0,0
312,181,0,0
313,181,0,0
314,180,1,0
315,179,1,0
316,179,0,0
317,178,1,0
318,178,0,0
319,178,0,0
320,177,1,0
321,177,0,0
322,176,1,0
323,175,1,0
324,175,0,0
325,174,1,0
326,174,0,0
327,174,0,0
330,172,2,0
331,172,0,0
332,171,1,0
336,168,3,0
337,168,0,0
338,168,0,0
339,168,0,0
340,167,1,0
341,167,0,0
342,167,0,0
343,167,0,0
344,166,1,0
345,166,0,0
346,166,0,0
347,166,0,0
348,165,1,0
353,162,3,0
355,161,1,0
514,303,142,1
515,302,1,0
516,299,3,0
517,298,1,0
526,271,27,1
527,267,4,0
528,263,4,0
529,262,1,0
534,234,28,1
535,233,1,0
536,231,2,0
537,218,13,1
538,217,1,0
