x,y,dy,groove
55,242,0,0
57,243,1,0
61,244,1,0
62,244,0,0
77,244,0,0
78,245,1,0
79,246,1,0
80,247,1,0
81,247,0,0
82,248,1,0
83,248,0,0
84,248,0,0
85,248,0,0
86,249,1,0
87,249,0,0
88,249,0,0
89,249,0,0
90,249,0,0
91,250,1,0
92,250,0,0
93,250,0,0
94,250,0,0
95,250,0,0
96,250,0,0
97,250,0,0
98,250,0,0
99,250,0,0
100,251,1,0
101,251,0,0
102,251,0,0
103,251,0,0
104,251,0,0
105,285,34,1
106,308,23,1
107,312,4,0
108,300,12,1
109,299,1,0
110,281,18,1
111,252,29,1
112,252,0,0
113,252,0,0
114,252,0,0
115,252,0,0
116,251,1,0
117,251,0,0
118,251,0,0
119,251,0,0
120,251,0,0
121,252,1,0
122,252,0,0
123,256,4,0
124,263,7,1
125,262,1,0
126,256,6,1
127,253,3,0
128,251,2,0
129,252,1,0
130,276,24,1
131,285,9,1
132,290,5,0
133,282,8,1
134,252,30,1
135,252,0,0
136,252,0,0
137,252,0,0
138,251,1,0
139,226,25,1
140,219,7,1
141,215,4,0
142,219,4,0
143,252,33,1
144,251,1,0
145,144,107,1
146,126,18,1
147,126,0,0
148,251,125,1
150,152,99,1
151,128,24,1
152,153,25,1
154,154,1,0
155,130,24,1
156,130,0,0
157,131,1,0
158,114,17,1
159,114,0,0
160,106,8,1
161,130,24,1
