x,y,dy,groove
111,323,0,0
112,322,1,0
113,322,0,0
114,322,0,0
115,322,0,0
116,322,0,0
118,180,142,1
119,180,0,0
120,180,0,0
121,180,0,0
124,181,1,0
125,182,1,0
126,182,0,0
127,183,1,0
128,183,0,0
129,183,0,0
130,184,1,0
131,184,0,0
132,184,0,0
133,184,0,0
134,184,0,0
135,184,0,0
136,184,0,0
137,184,0,0
138,184,0,0
139,184,0,0
140,184,0,0
141,184,0,0
142,184,0,0
143,184,0,0
144,184,0,0
145,184,0,0
146,184,0,0
147,185,1,0
148,185,0,0
149,185,0,0
150,185,0,0
151,184,1,0
152,185,1,0
153,185,0,0
154,185,0,0
155,185,0,0
156,184,1,0
157,184,0,0
158,184,0,0
159,184,0,0
160,185,1,0
161,185,0,0
162,185,0,0
163,185,0,0
164,184,1,0
165,184,0,0
166,184,0,0
167,184,0,0
168,185,1,0
169,184,1,0
170,184,0,0
171,184,0,0
172,184,0,0
173,183,1,0
174,183,0,0
175,183,0,0
176,183,0,0
180,141,42,1
181,154,13,1
182,158,4,0
183,181,23,1
184,183,2,0
185,183,0,0
186,183,0,0
187,184,1,0
188,184,0,0
189,184,0,0
190,184,0,0
191,183,1,0
192,183,0,0
193,183,0,0
194,183,0,0
195,183,0,0
196,183,0,0
197,183,0,0
198,183,0,0
199,183,0,0
200,182,1,0
201,182,0,0
202,182,0,0
203,182,0,0
204,182,0,0
205,182,0,0
206,182,0,0
207,182,0,0
208,182,0,0
209,182,0,0
210,182,0,0
211,182,0,0
212,182,0,0
213,182,0,0
214,182,0,0
215,182,0,0
216,181,1,0
217,181,0,0
218,181,0,0
219,181,0,0
220,181,0,0
221,181,0,0
222,181,0,0
223,181,0,0
224,181,0,0
225,181,0,0
226,181,0,0
227,181,0,0
228,181,0,0
229,180,1,0
230,180,0,0
231,180,0,0
232,180,0,0
233,180,0,0
234,180,0,0
235,180,0,0
236,179,1,0
237,179,0,0
238,179,0,0
239,179,0,0
240,178,1,0
241,178,0,0
242,178,0,0
243,178,0,0
244,177,1,0
250,174,3,0
251,175,1,0
252,175,0,0
253,176,1,0
254,176,0,0
255,176,0,0
256,176,0,0
257,176,0,0
258,176,0,0
259,176,0,0
260,177,1,0
261,177,0,0
262,177,0,0
263,177,0,0
264,176,1,0
265,176,0,0
266,176,0,0
267,176,0,0
268,176,0,0
269,176,0,0
270,175,1,0
271,175,0,0
272,175,0,0
273,175,0,0
274,175,0,0
275,175,0,0
276,175,0,0
277,175,0,0
278,175,0,0
279,175,0,0
280,174,1,0
281,174,0,0
282,174,0,0
283,174,0,0
284,174,0,0
285,174,0,0
286,174,0,0
287,174,0,0
288,173,1,0
289,173,0,0
290,173,0,0
291,173,0,0
292,173,0,0
293,173,0,0
294,173,0,0
295,173,0,0
296,173,0,0
297,172,1,0
300,171,1,0
301,171,0,0
302,171,0,0
303,171,0,0
304,171,0,0
526,69,102,1
527,69,0,0
528,69,0,0
