x,y,dy,groove
79,334,0,0
80,334,0,0
81,334,0,0
82,334,0,0
83,333,1,0
84,332,1,0
85,332,0,0
86,332,0,0
112,216,116,1
113,211,5,0
114,204,7,1
115,203,1,0
116,196,7,1
117,193,3,0
118,193,0,0
119,199,6,1
124,323,124,1
125,274,49,1
126,250,24,1
127,250,0,0
128,250,0,0
129,260,10,1
130,225,35,1
131,177,48,1
132,177,0,0
133,177,0,0
134,177,0,0
135,177,0,0
136,177,0,0
137,176,1,0
138,176,0,0
139,176,0,0
140,176,0,0
141,176,0,0
142,176,0,0
143,176,0,0
144,176,0,0
145,176,0,0
146,175,1,0
147,175,0,0
148,175,0,0
149,174,1,0
150,174,0,0
151,174,0,0
152,174,0,0
153,174,0,0
154,173,1,0
155,173,0,0
156,173,0,0
157,173,0,0
158,173,0,0
159,173,0,0
160,172,1,0
161,172,0,0
162,172,0,0
163,172,0,0
164,172,0,0
165,171,1,0
166,171,0,0
167,171,0,0
168,171,0,0
169,171,0,0
170,170,1,0
171,170,0,0
172,170,0,0
174,168,2,0
175,168,0,0
176,168,0,0
177,168,0,0
178,168,0,0
179,167,1,0
184,164,3,0
185,165,1,0
186,165,0,0
187,165,0,0
188,165,0,0
189,165,0,0
190,165,0,0
191,165,0,0
192,165,0,0
193,166,1,0
194,165,1,0
195,164,1,0
196,164,0,0
197,164,0,0
198,164,0,0
199,164,0,0
202,162,2,0
203,162,0,0
204,162,0,0
205,162,0,0
206,162,0,0
207,162,0,0
208,161,1,0
209,161,0,0
210,161,0,0
211,160,1,0
212,160,0,0
213,160,0,0
214,160,0,0
215,160,0,0
218,158,2,0
219,158,0,0
220,158,0,0
221,158,0,0
222,157,1,0
223,157,0,0
224,157,0,0
225,157,0,0
226,156,1,0
227,156,0,0
228,156,0,0
229,156,0,0
230,156,0,0
243,0,156,1
244,0,0,0
633,27,27,1
634,28,1,0
635,28,0,0
636,28,0,0
