x,y,dy,groove
528,0,0,0
528,1,1,0
541,2,1,0
541,3,1,0
555,4,1,0
567,5,1,0
570,6,1,0
569,7,1,0
572,8,1,0
571,9,1,0
570,10,1,0
568,11,1,0
570,12,1,0
566,13,1,0
563,14,1,0
563,15,1,0
580,16,1,0
564,17,1,0
559,18,1,0
560,19,1,0
558,20,1,0
552,21,1,0
554,22,1,0
555,23,1,0
556,24,1,0
284,181,157,1
283,182,1,0
281,183,1,0
280,184,1,0
279,185,1,0
278,186,1,0
274,187,1,0
273,188,1,0
271,189,1,0
269,190,1,0
267,191,1,0
266,192,1,0
265,193,1,0
262,194,1,0
260,195,1,0
258,196,1,0
257,197,1,0
254,198,1,0
253,199,1,0
251,200,1,0
250,201,1,0
250,202,1,0
242,204,2,0
242,205,1,0
241,206,1,0
239,207,1,0
237,208,1,0
235,209,1,0
234,210,1,0
232,211,1,0
231,212,1,0
225,215,3,0
225,216,1,0
224,217,1,0
220,218,1,0
219,219,1,0
218,220,1,0
217,221,1,0
214,222,1,0
212,223,1,0
211,224,1,0
207,225,1,0
207,226,1,0
205,227,1,0
204,228,1,0
202,229,1,0
201,230,1,0
199,231,1,0
198,232,1,0
195,233,1,0
193,234,1,0
191,235,1,0
189,236,1,0
188,237,1,0
181,238,1,0
179,239,1,0
177,240,1,0
175,241,1,0
174,242,1,0
173,243,1,0
167,244,1,0
163,245,1,0
163,246,1,0
162,247,1,0
161,248,1,0
160,249,1,0
159,250,1,0
157,251,1,0
156,252,1,0
155,253,1,0
155,254,1,0
154,255,1,0
153,256,1,0
153,257,1,0
152,258,1,0
151,259,1,0
150,260,1,0
150,261,1,0
150,262,1,0
179,319,57,1
179,320,1,0
179,321,1,0
179,322,1,0
179,323,1,0
