x,y,dy,groove
182,0,0,0
182,1,1,0
181,2,1,0
180,3,1,0
180,4,1,0
179,5,1,0
179,6,1,0
178,7,1,0
177,8,1,0
177,9,1,0
177,10,1,0
176,11,1,0
448,164,153,1
448,165,1,0
448,166,1,0
448,167,1,0
448,168,1,0
449,169,1,0
449,170,1,0
449,171,1,0
449,172,1,0
449,173,1,0
449,174,1,0
449,175,1,0
449,176,1,0
449,177,1,0
449,178,1,0
449,179,1,0
449,180,1,0
449,181,1,0
449,182,1,0
449,183,1,0
449,184,1,0
449,185,1,0
449,186,1,0
449,187,1,0
449,188,1,0
449,189,1,0
449,190,1,0
450,191,1,0
450,192,1,0
450,193,1,0
449,194,1,0
449,195,1,0
449,196,1,0
449,197,1,0
449,198,1,0
449,199,1,0
450,200,1,0
450,201,1,0
450,202,1,0
451,203,1,0
451,204,1,0
452,205,1,0
452,206,1,0
453,207,1,0
454,208,1,0
456,209,1,0
456,210,1,0
456,211,1,0
456,212,1,0
452,215,3,0
451,216,1,0
451,217,1,0
451,218,1,0
451,219,1,0
448,221,2,0
447,222,1,0
447,223,1,0
448,224,1,0
449,225,1,0
450,226,1,0
451,227,1,0
452,228,1,0
453,229,1,0
454,230,1,0
455,231,1,0
455,232,1,0
456,233,1,0
456,234,1,0
455,235,1,0
455,236,1,0
455,237,1,0
455,238,1,0
455,239,1,0
455,240,1,0
455,241,1,0
