x,y,dy,groove
179,235,0,0
194,228,7,1
198,227,1,0
199,227,0,0
200,227,0,0
201,227,0,0
202,226,1,0
203,226,0,0
204,226,0,0
205,226,0,0
207,225,1,0
208,224,1,0
209,224,0,0
210,223,1,0
211,223,0,0
212,223,0,0
213,222,1,0
214,222,0,0
215,222,0,0
216,221,1,0
217,221,0,0
218,220,1,0
219,220,0,0
220,219,1,0
221,219,0,0
222,218,1,0
223,218,0,0
224,218,0,0
225,217,1,0
226,217,0,0
227,217,0,0
228,217,0,0
229,216,1,0
231,215,1,0
233,214,1,0
234,214,0,0
239,211,3,0
240,211,0,0
241,211,0,0
242,210,1,0
243,210,0,0
245,209,1,0
247,208,1,0
248,208,0,0
254,205,3,0
256,204,1,0
257,204,0,0
262,201,3,0
285,191,10,1
288,190,1,0
289,190,0,0
290,189,1,0
291,189,0,0
292,189,0,0
296,187,2,0
297,187,0,0
298,187,0,0
300,186,1,0
302,185,1,0
304,184,1,0
305,184,0,0
306,184,0,0
307,183,1,0
312,181,2,0
313,181,0,0
315,180,1,0
317,179,1,0
318,179,0,0
323,176,3,0
324,176,0,0
325,176,0,0
328,175,1,0
330,174,1,0
340,169,5,0
341,169,0,0
342,169,0,0
343,169,0,0
344,168,1,0
345,168,0,0
346,168,0,0
347,167,1,0
348,167,0,0
349,167,0,0
350,167,0,0
351,166,1,0
353,165,1,0
356,164,1,0
357,164,0,0
358,163,1,0
359,163,0,0
361,162,1,0
391,301,139,1
392,299,2,0
393,298,1,0
394,297,1,0
395,291,6,1
396,287,4,0
397,284,3,0
398,279,5,0
399,276,3,0
400,274,2,0
401,272,2,0
402,268,4,0
403,264,4,0
404,264,0,0
405,264,0,0
407,239,25,1
408,244,5,0
409,245,1,0
410,242,3,0
411,241,1,0
412,234,7,1
413,234,0,0
414,225,9,1
415,208,17,1
416,204,4,0
417,198,6,1
418,190,8,1
419,188,2,0
420,182,6,1
421,178,4,0
422,174,4,0
423,172,2,0
