x,y,dy,groove
213,0,0,0
213,1,1,0
212,2,1,0
433,188,186,1
433,189,1,0
432,190,1,0
432,191,1,0
432,192,1,0
432,193,1,0
432,194,1,0
431,195,1,0
431,196,1,0
431,197,1,0
431,198,1,0
431,199,1,0
431,200,1,0
431,201,1,0
431,202,1,0
431,203,1,0
431,204,1,0
431,205,1,0
431,206,1,0
432,207,1,0
432,208,1,0
432,209,1,0
432,210,1,0
432,211,1,0
432,212,1,0
431,213,1,0
431,214,1,0
431,215,1,0
431,216,1,0
431,217,1,0
432,218,1,0
432,219,1,0
432,220,1,0
432,221,1,0
432,222,1,0
431,223,1,0
432,224,1,0
432,225,1,0
432,226,1,0
433,227,1,0
433,228,1,0
433,229,1,0
432,230,1,0
432,231,1,0
433,232,1,0
433,233,1,0
434,234,1,0
434,235,1,0
436,236,1,0
437,237,1,0
438,238,1,0
438,239,1,0
439,240,1,0
439,241,1,0
434,243,2,0
434,244,1,0
434,245,1,0
433,246,1,0
433,247,1,0
432,248,1,0
431,249,1,0
431,250,1,0
430,251,1,0
430,252,1,0
431,253,1,0
432,254,1,0
434,255,1,0
435,256,1,0
436,257,1,0
437,258,1,0
438,259,1,0
438,260,1,0
438,261,1,0
438,262,1,0
438,263,1,0
438,264,1,0
437,265,1,0
