x,y,dy,groove
97,321,0,0
98,321,0,0
99,321,0,0
100,320,1,0
103,193,127,1
104,193,0,0
105,194,1,0
106,194,0,0
107,195,1,0
108,196,1,0
109,196,0,0
110,196,0,0
111,196,0,0
112,196,0,0
113,196,0,0
114,196,0,0
115,196,0,0
116,196,0,0
117,196,0,0
118,196,0,0
119,196,0,0
120,196,0,0
121,196,0,0
122,198,2,0
123,198,0,0
124,199,1,0
125,201,2,0
126,202,1,0
127,202,0,0
128,203,1,0
129,203,0,0
130,204,1,0
131,204,0,0
132,204,0,0
133,205,1,0
134,205,0,0
135,206,1,0
136,206,0,0
137,207,1,0
138,207,0,0
139,207,0,0
140,207,0,0
141,207,0,0
142,207,0,0
143,207,0,0
144,207,0,0
145,207,0,0
146,208,1,0
147,208,0,0
148,208,0,0
149,208,0,0
150,208,0,0
151,208,0,0
152,208,0,0
153,209,1,0
154,209,0,0
155,210,1,0
156,210,0,0
157,211,1,0
158,211,0,0
159,211,0,0
160,211,0,0
161,211,0,0
162,211,0,0
163,211,0,0
164,211,0,0
165,211,0,0
166,213,2,0
167,213,0,0
168,213,0,0
169,213,0,0
172,211,2,0
173,211,0,0
174,211,0,0
175,211,0,0
