x,y,dy,groove
137,362,0,0
138,362,0,0
139,362,0,0
140,361,1,0
141,361,0,0
142,361,0,0
143,361,0,0
144,360,1,0
150,359,1,0
151,359,0,0
152,359,0,0
153,359,0,0
154,359,0,0
155,359,0,0
156,359,0,0
157,359,0,0
158,359,0,0
162,358,1,0
163,358,0,0
164,358,0,0
165,358,0,0
166,358,0,0
167,358,0,0
168,357,1,0
173,353,4,0
174,343,10,1
175,342,1,0
176,342,0,0
177,343,1,0
178,343,0,0
179,345,2,0
180,348,3,0
181,349,1,0
182,354,5,0
183,353,1,0
184,353,0,0
185,353,0,0
186,353,0,0
187,353,0,0
188,352,1,0
189,351,1,0
190,351,0,0
191,350,1,0
192,350,0,0
193,350,0,0
194,350,0,0
195,350,0,0
196,350,0,0
197,350,0,0
198,350,0,0
199,350,0,0
200,350,0,0
201,350,0,0
202,350,0,0
203,350,0,0
204,350,0,0
205,350,0,0
206,351,1,0
207,351,0,0
208,350,1,0
209,350,0,0
210,349,1,0
211,349,0,0
212,349,0,0
213,347,2,0
214,346,1,0
215,346,0,0
216,346,0,0
217,347,1,0
218,347,0,0
219,347,0,0
220,347,0,0
221,348,1,0
222,348,0,0
223,348,0,0
224,348,0,0
225,348,0,0
226,348,0,0
227,348,0,0
228,348,0,0
229,347,1,0
230,347,0,0
231,347,0,0
232,347,0,0
233,347,0,0
234,347,0,0
235,347,0,0
236,347,0,0
237,347,0,0
238,346,1,0
239,346,0,0
240,346,0,0
241,346,0,0
242,346,0,0
243,345,1,0
244,345,0,0
245,345,0,0
246,345,0,0
247,345,0,0
248,345,0,0
249,345,0,0
250,345,0,0
251,344,1,0
252,344,0,0
253,344,0,0
254,344,0,0
255,344,0,0
256,344,0,0
257,343,1,0
258,343,0,0
259,343,0,0
260,343,0,0
261,343,0,0
262,343,0,0
263,343,0,0
264,343,0,0
265,342,1,0
266,342,0,0
267,342,0,0
268,342,0,0
269,342,0,0
270,342,0,0
271,342,0,0
272,341,1,0
273,341,0,0
274,341,0,0
275,341,0,0
276,340,1,0
277,340,0,0
278,340,0,0
279,340,0,0
280,340,0,0
281,340,0,0
286,337,3,0
287,337,0,0
288,337,0,0
289,337,0,0
290,337,0,0
291,337,0,0
292,337,0,0
293,338,1,0
294,338,0,0
295,337,1,0
296,337,0,0
297,337,0,0
298,337,0,0
299,337,0,0
300,337,0,0
301,337,0,0
302,337,0,0
303,336,1,0
304,336,0,0
305,336,0,0
306,336,0,0
307,336,0,0
308,336,0,0
309,335,1,0
310,335,0,0
311,335,0,0
312,335,0,0
313,335,0,0
314,334,1,0
315,334,0,0
316,334,0,0
317,334,0,0
318,334,0,0
319,334,0,0
320,334,0,0
321,334,0,0
322,333,1,0
323,333,0,0
324,333,0,0
325,333,0,0
326,333,0,0
327,333,0,0
328,333,0,0
329,332,1,0
330,332,0,0
331,332,0,0
332,332,0,0
333,332,0,0
334,332,0,0
335,332,0,0
336,332,0,0
337,331,1,0
338,331,0,0
339,331,0,0
340,331,0,0
341,331,0,0
342,331,0,0
343,331,0,0
344,330,1,0
345,330,0,0
346,330,0,0
347,330,0,0
348,330,0,0
349,330,0,0
352,327,3,0
353,328,1,0
354,328,0,0
355,328,0,0
356,328,0,0
357,328,0,0
358,328,0,0
359,329,1,0
360,329,0,0
361,329,0,0
362,329,0,0
363,329,0,0
364,329,0,0
365,329,0,0
366,328,1,0
367,328,0,0
368,328,0,0
369,328,0,0
370,328,0,0
371,328,0,0
372,328,0,0
373,328,0,0
374,328,0,0
375,327,1,0
376,327,0,0
377,327,0,0
378,327,0,0
379,327,0,0
380,327,0,0
381,327,0,0
382,326,1,0
383,326,0,0
384,326,0,0
385,326,0,0
386,326,0,0
387,326,0,0
388,326,0,0
389,326,0,0
390,325,1,0
391,325,0,0
392,325,0,0
393,325,0,0
394,324,1,0
395,324,0,0
396,324,0,0
397,324,0,0
398,323,1,0
399,323,0,0
400,323,0,0
401,323,0,0
402,323,0,0
403,323,0,0
404,323,0,0
405,323,0,0
406,323,0,0
407,323,0,0
408,323,0,0
409,322,1,0
410,322,0,0
411,322,0,0
418,345,23,1
419,339,6,1
420,312,27,1
421,303,9,1
422,285,18,1
423,277,8,1
424,269,8,1
425,269,0,0
426,260,9,1
427,252,8,1
428,247,5,0
429,243,4,0
430,243,0,0
431,235,8,1
432,226,9,1
433,211,15,1
434,203,8,1
435,213,10,1
436,214,1,0
437,143,71,1
438,144,1,0
439,166,22,1
440,115,51,1
441,90,25,1
442,166,76,1
443,316,150,1
444,316,0,0
445,316,0,0
446,316,0,0
447,316,0,0
448,316,0,0
449,316,0,0
450,315,1,0
451,315,0,0
452,315,0,0
453,315,0,0
454,316,1,0
455,315,1,0
469,309,6,1
470,309,0,0
471,309,0,0
472,309,0,0
473,309,0,0
474,309,0,0
475,309,0,0
476,309,0,0
477,309,0,0
478,309,0,0
479,309,0,0
480,309,0,0
481,309,0,0
482,309,0,0
483,309,0,0
484,308,1,0
485,308,0,0
486,308,0,0
487,308,0,0
488,308,0,0
489,308,0,0
490,308,0,0
491,308,0,0
509,303,5,0
510,303,0,0
511,303,0,0
512,303,0,0
513,303,0,0
514,303,0,0
515,302,1,0
516,302,0,0
517,302,0,0
518,302,0,0
519,302,0,0
520,302,0,0
521,303,1,0
522,303,0,0
523,303,0,0
524,303,0,0
525,302,1,0
540,298,4,0
541,298,0,0
542,298,0,0
543,298,0,0
544,298,0,0
545,298,0,0
546,299,1,0
547,299,0,0
548,299,0,0
549,299,0,0
550,299,0,0
551,298,1,0
552,298,0,0
560,296,2,0
561,296,0,0
562,296,0,0
