x,y,dx
93,167,17
109,170,16
91,173,18
106,190,17
86,193,20
104,199,18
104,205,19
82,207,24
104,227,16
68,239,40
101,279,19
83,282,18
101,287,18
85,295,16
101,298,16
70,309,33
90,312,22
104,314,14
73,337,23
