x,y,dx
210,155,13
158,199,13
192,239,40
218,243,29
190,244,28
206,279,19
187,280,19
212,297,28
187,301,26
157,312,28
208,316,51
179,318,31
157,320,26
181,327,26
206,329,23
181,330,25
202,334,20
182,337,21
200,352,18
183,353,17
201,355,19
183,356,18
201,358,18
187,363,14
