x,y,dx
569,6,16
525,15,39
504,17,22
536,29,29
512,32,30
545,35,30
507,234,42
493,241,14
497,282,13
483,283,14
497,284,14
480,286,17
491,297,13
477,302,13
601,304,124
475,306,126
600,327,127
480,330,118
595,334,115
