x,y,dx
447,14,72
526,21,72
462,22,64
533,28,64
260,155,275
407,243,152
421,272,24
398,273,23
413,309,19
390,310,23
412,322,17
396,324,17
413,325,17
397,326,16
530,328,133
402,329,128
530,336,124
407,337,123
527,343,120
