x,y,dx
75,193,16
94,197,19
73,201,19
90,206,17
73,207,17
90,210,17
73,211,17
93,230,18
69,244,24
93,251,24
71,253,21
90,260,18
72,261,18
90,262,18
72,265,20
89,273,16
