x,y,dx
512,14,51
475,18,39
519,21,44
547,22,28
517,24,25
543,25,26
480,26,63
526,33,37
440,208,86
447,240,16
430,241,17
447,242,17
431,243,16
436,291,23
418,292,18
549,333,137
413,334,136
543,358,119
