x,y,dx
90,1,13
86,176,15
101,177,15
84,185,17
101,186,17
84,187,17
101,188,17
83,189,18
100,190,17
83,191,17
99,196,18
82,197,17
98,212,19
80,213,18
98,224,30
70,241,38
107,246,36
71,247,36
97,262,20
77,266,21
97,268,20
78,271,19
97,285,17
