x,y,dx
103,157,18
118,166,17
98,174,17
115,176,17
98,177,17
115,179,18
92,196,22
71,221,16
113,225,34
73,228,40
108,262,27
82,264,30
109,279,22
87,281,20
107,285,18
87,286,20
103,312,23
125,328,19
74,353,49
