x,y,dx
159,3,16
155,154,15
140,155,15
156,159,16
137,163,20
152,171,16
136,172,16
143,197,13
130,200,13
152,203,24
128,205,23
81,220,44
98,221,17
79,239,19
104,243,16
141,277,24
117,278,24
139,289,22
116,296,26
142,307,27
113,308,29
144,323,31
113,324,31
143,331,24
116,350,14
