x,y,dx
248,153,16
241,161,22
212,188,18
190,189,22
206,194,23
173,195,33
207,197,36
176,201,31
225,243,59
249,255,26
225,257,24
246,288,26
220,289,26
235,313,18
217,314,18
234,351,19
213,352,21
