x,y,dx
187,162,18
185,189,20
163,190,22
186,199,31
157,200,29
112,214,41
189,220,77
115,221,74
146,239,31
177,276,25
149,277,28
177,281,27
149,282,28
173,293,24
146,294,27
170,305,23
145,307,25
169,310,24
135,313,34
166,317,32
133,318,33
170,335,31
145,336,25
171,338,27
145,342,25
173,343,28
148,346,22
170,352,21
147,357,23
