x,y,dx
255,158,92
270,162,22
245,163,25
246,169,14
228,170,18
214,184,18
229,186,14
199,187,30
286,245,98
308,266,25
284,267,24
305,303,30
278,304,27
302,305,24
278,306,24
300,312,22
277,313,23
295,337,20
275,338,20
293,346,19
275,347,18
