x,y,dx
124,169,16
105,174,17
121,184,17
104,185,17
118,203,18
99,205,18
77,223,15
122,224,45
76,232,46
115,259,28
89,260,26
117,279,29
88,283,28
113,287,24
88,288,25
101,296,14
86,297,15
101,298,15
116,299,15
87,301,27
100,307,13
114,309,14
92,311,22
116,318,31
95,319,21
116,320,21
100,321,16
117,326,16
90,333,17
