x,y,dx
123,159,16
136,173,16
120,174,16
110,200,13
123,201,13
106,204,22
135,205,29
113,206,22
99,210,13
76,221,29
98,245,13
127,255,29
97,256,30
115,260,13
101,261,14
132,270,29
101,271,31
127,274,25
104,276,23
129,280,27
101,282,28
129,285,28
100,288,32
129,289,29
100,290,29
129,291,29
101,292,28
132,296,31
101,297,31
129,300,28
105,313,23
128,323,14
97,328,28
119,331,22
110,334,17
118,342,20
102,346,16
