x,y,dx
396,18,13
251,158,146
265,163,24
235,164,30
266,166,31
213,173,43
206,177,13
234,181,18
215,191,15
337,247,131
358,266,24
334,267,24
352,302,22
330,303,22
351,305,21
329,306,22
360,329,19
385,330,25
