x,y,baseline,depth,groove
120,238,137.1084545585481,17.10845455854809,1
121,238,137.1084545585481,16.10845455854809,1
122,238,137.1084545585481,15.10845455854809,1
123,238,137.1084545585481,14.10845455854809,1
124,238,137.1084545585481,13.10845455854809,1
125,238,137.1084545585481,12.10845455854809,1
126,254,132.64006913438007,6.64006913438007,1
127,255,132.36079504536957,5.360795045369571,1
129,239,136.82918046953756,7.829180469537562,1
130,239,136.82918046953756,6.829180469537562,1
131,239,136.82918046953756,5.829180469537562,1
133,247,134.59498775745357,1.5949877574535662,0
134,247,134.59498775745357,0.5949877574535662,0
135,239,136.82918046953756,1.8291804695375617,0
136,238,137.1084545585481,1.1084545585480896,0
137,238,137.1084545585481,0.10845455854808961,0
138,238,137.1084545585481,-0.8915454414519104,0
139,238,137.1084545585481,-1.8915454414519104,0
140,238,137.1084545585481,-2.8915454414519104,0
154,240,136.5499063805271,-17.45009361947291,0
155,240,136.5499063805271,-18.45009361947291,0
156,240,136.5499063805271,-19.45009361947291,0
157,240,136.5499063805271,-20.45009361947291,0
158,240,136.5499063805271,-21.45009361947291,0
159,240,136.5499063805271,-22.45009361947291,0
