x,y,baseline,depth,groove
197,218,254.9965241154473,57.9965241154473,1
198,218,254.9965241154473,56.9965241154473,1
199,218,254.9965241154473,55.9965241154473,1
219,214,256.1754482692492,37.175448269249216,1
220,214,256.1754482692492,36.175448269249216,1
221,214,256.1754482692492,35.175448269249216,1
235,210,257.35437242305113,22.35437242305113,1
236,210,257.35437242305113,21.35437242305113,1
237,210,257.35437242305113,20.35437242305113,1
263,200,260.30168280755584,-2.698317192444165,0
264,286,234.95481350081508,-29.045186499184922,0
265,284,235.544275577716,-29.455724422283993,0
278,197,261.18587592290726,-16.814124077092742,0
279,197,261.18587592290726,-17.814124077092742,0
280,197,261.18587592290726,-18.814124077092742,0
281,197,261.18587592290726,-19.814124077092742,0
282,197,261.18587592290726,-20.814124077092742,0
283,218,254.9965241154473,-28.0034758845527,0
284,217,255.2912551538978,-28.708744846102206,0
285,216,255.58598619234826,-29.41401380765174,0
287,189,263.5437242305111,-23.45627576948891,0
288,192,262.65953111515967,-25.340468884840334,0
289,192,262.65953111515967,-26.340468884840334,0
290,191,262.9542621536101,-27.045737846389898,0
