x,y,baseline,depth,groove
277,298,309.53152116167894,11.531521161678938,1
278,298,303.20842925447164,5.208429254471639,1
279,294,296.8853373472641,2.8853373472641124,0
280,308,290.5622454400568,-17.437754559943187,0
281,308,284.2391535328495,-23.760846467150486,0
282,308,277.916061625642,-30.083938374358013,0
290,191,227.33132636798314,36.33132636798314,1
291,191,221.00823446077584,30.00823446077584,1
292,191,214.6851425535683,23.685142553568312,1
293,191,208.362050646361,17.362050646361013,1
298,189,176.7465911103243,-12.253408889675711,0
299,189,170.42349920311676,-18.576500796883238,0
300,189,164.10040729590946,-24.899592704090537,0
