x,y,baseline,depth,groove
<<<<<<< HEAD
114,246,267.0115614407153,21.011561440715298,1
115,246,266.86878234765396,20.868782347653962,1
116,246,266.72600325459257,20.72600325459257,1
117,246,266.5832241615312,20.583224161531177,1
122,247,265.86932869622433,18.86932869622433,1
123,247,265.72654960316294,18.726549603162937,1
124,247,265.5837705101016,18.5837705101016,1
125,247,265.4409914170402,18.44099141704021,1
130,325,264.7270959517333,-60.272904048266696,0
131,322,264.58431685867197,-57.41568314132803,0
132,326,264.4415377656106,-61.558462234389424,0
133,324,264.2987586725492,-59.701241327450816,0
142,248,263.0137468349968,15.013746834996823,1
143,248,262.8709677419355,14.870967741935488,1
144,248,262.7281886488741,14.728188648874095,1
145,248,262.5854095558127,14.585409555812703,1
146,248,262.44263046275137,14.442630462751367,1
147,248,262.29985136969,14.299851369689975,1
148,248,262.1570722766286,14.157072276628583,1
149,260,262.01429318356725,2.014293183567247,0
151,307,261.72873499744446,-45.27126500255554,0
152,307,261.58595590438307,-45.41404409561693,0
153,307,261.44317681132173,-45.556823188678266,0
155,243,261.15761862519895,18.15761862519895,1
156,242,261.0148395321376,19.014839532137614,1
157,241,260.8720604390762,19.872060439076222,1
158,241,260.72928134601483,19.72928134601483,1
159,241,260.5865022529535,19.586502252953494,1
181,251,257.44536220560326,6.44536220560326,1
182,253,257.30258311254187,4.302583112541868,0
183,251,257.1598040194805,6.159804019480475,1
=======
114,246,143.97015469210646,29.970154692106462,1
115,246,143.97015469210646,28.970154692106462,1
116,246,143.97015469210646,27.970154692106462,1
117,246,143.97015469210646,26.970154692106462,1
122,247,143.9126503030906,21.9126503030906,1
123,247,143.9126503030906,20.9126503030906,1
124,247,143.9126503030906,19.9126503030906,1
125,247,143.9126503030906,18.9126503030906,1
130,325,139.42730795985304,9.427307959853039,1
131,322,139.59982112690065,8.59982112690065,1
132,326,139.36980357083718,7.369803570837178,1
133,324,139.4848123488689,6.4848123488689,1
142,248,143.85514591407474,1.8551459140747397,0
143,248,143.85514591407474,0.8551459140747397,0
144,248,143.85514591407474,-0.14485408592526028,0
145,248,143.85514591407474,-1.1448540859252603,0
146,248,143.85514591407474,-2.1448540859252603,0
147,248,143.85514591407474,-3.1448540859252603,0
148,248,143.85514591407474,-4.14485408592526,0
149,260,143.16509324588432,-5.8349067541156785,0
151,307,140.46238696213862,-10.537613037861377,0
152,307,140.46238696213862,-11.537613037861377,0
153,307,140.46238696213862,-12.537613037861377,0
155,243,144.14266785915405,-10.857332140845955,0
156,242,144.2001722481699,-11.799827751830094,0
157,241,144.2576766371858,-12.742323362814204,0
158,241,144.2576766371858,-13.742323362814204,0
159,241,144.2576766371858,-14.742323362814204,0
181,251,143.68263274702713,-37.31736725297287,0
182,253,143.5676239689954,-38.432376031004594,0
183,251,143.68263274702713,-39.31736725297287,0
>>>>>>> feature
