x,y,baseline,depth,groove
167,229,216.48946276266167,49.489462762661674,1
168,229,216.48946276266167,48.489462762661674,1
169,229,216.48946276266167,47.489462762661674,1
172,228,216.7302022558507,44.73020225585071,1
173,228,216.7302022558507,43.73020225585071,1
174,228,216.7302022558507,42.73020225585071,1
183,226,217.21168124222885,34.21168124222885,1
184,226,217.21168124222885,33.21168124222885,1
185,226,217.21168124222885,32.21168124222885,1
193,223,217.93389972179602,24.933899721796024,1
194,223,217.93389972179602,23.933899721796024,1
195,223,217.93389972179602,22.933899721796024,1
196,223,217.93389972179602,21.933899721796024,1
197,223,217.93389972179602,20.933899721796024,1
198,223,217.93389972179602,19.933899721796024,1
199,222,218.1746392149851,19.174639214985092,1
200,222,218.1746392149851,18.174639214985092,1
201,222,218.1746392149851,17.174639214985092,1
202,222,218.1746392149851,16.174639214985092,1
203,222,218.1746392149851,15.174639214985092,1
204,222,218.1746392149851,14.174639214985092,1
205,313,196.26734533478052,-8.732654665219485,0
206,314,196.02660584159145,-9.973394158408553,0
207,353,186.63776560721806,-20.362234392781943,0
208,320,194.5821688824571,-13.417831117542903,0
209,320,194.5821688824571,-14.417831117542903,0
210,321,194.341429389268,-15.658570610732,0
211,222,218.1746392149851,7.174639214985092,1
212,222,218.1746392149851,6.174639214985092,1
213,222,218.1746392149851,5.174639214985092,1
215,222,218.1746392149851,3.174639214985092,0
216,222,218.1746392149851,2.174639214985092,0
217,224,217.69316022860698,0.6931602286069847,0
220,215,219.8598156673085,-0.14018433269149,0
221,215,219.8598156673085,-1.14018433269149,0
222,211,220.82277364006478,-1.1772263599352186,0
223,220,218.6561182013632,-4.343881798636801,0
224,220,218.6561182013632,-5.343881798636801,0
225,220,218.6561182013632,-6.343881798636801,0
232,215,219.8598156673085,-12.14018433269149,0
233,215,219.8598156673085,-13.14018433269149,0
234,215,219.8598156673085,-14.14018433269149,0
238,214,220.10055516049758,-17.899444839502422,0
239,214,220.10055516049758,-18.899444839502422,0
240,214,220.10055516049758,-19.899444839502422,0
242,213,220.34129465368665,-21.658705346313354,0
243,213,220.34129465368665,-22.658705346313354,0
244,213,220.34129465368665,-23.658705346313354,0
245,213,220.34129465368665,-24.658705346313354,0
246,213,220.34129465368665,-25.658705346313354,0
248,212,220.5820341468757,-27.417965853124286,0
249,212,220.5820341468757,-28.417965853124286,0
250,212,220.5820341468757,-29.417965853124286,0
251,212,220.5820341468757,-30.417965853124286,0
252,212,220.5820341468757,-31.417965853124286,0
279,205,222.26721059919913,-56.73278940080087,0
280,205,222.26721059919913,-57.73278940080087,0
281,204,222.5079500923882,-58.4920499076118,0
